,title,revenue,user_rating,votes,year,source,genre,director,runtime_in_minutes
8,The Pez Outlaw (page does not exist),5.38,83,50+ Ratings,2022,RT,Documentary,"['Amy Bandlien Storkel', 'Bryan Storkel']",85
9,We Feed People,5.38,83,Fewer than 50 Ratings,2022,RT,Documentary,['Ron Howard'],87
283,Law of Desire,72.46,82,"5,000+ Ratings",1987,RT,Comedy,['Pedro Almodóvar'],100
415,Boudu Saved from Drowning,12.75,82,"5,000+ Ratings",1932,RT,Comedy,['Jean Renoir'],84
176,Uncertain (film) (page does not exist),0.04,82,250+ Ratings,2015,RT,Documentary,"['Ewan McNicol', 'Anna Sandilands']",82
138,Keep the Change (2018 film) (page does not exist),0.01,82,100+ Ratings,2017,RT,Romance,['Rachel Israel'],94
170,For the Love of Spock,19.34,82,"1,000+ Ratings",2016,RT,Documentary,['Adam Nimoy'],100
76,White Riot (film),0.85,82,Fewer than 50 Ratings,2019,RT,Documentary,['Rubika Shah'],80
230,Henri-Georges Clouzot's Inferno,,82,500+ Ratings,2009,RT,Documentary,"['Serge Bromberg', 'Ruxandra Medrea']",102
270,Passion Fish,,82,"2,500+ Ratings",1992,RT,Drama,['John Sayles'],134
403,Only Angels Have Wings,,82,"5,000+ Ratings",1939,RT,Adventure,['Howard Hawks'],121
361,The Band Wagon,80.01,82,"2,500+ Ratings",1953,RT,Musical,['Vincente Minnelli'],112
277,La Belle Noiseuse,,82,500+ Ratings,1991,RT,Drama,['Jacques Rivette'],238
319,The Swimmer (film),,82,"2,500+ Ratings",1968,RT,Drama,"['Frank Perry', 'Sydney Pollack']",94
